time,pelvis_tz,pelvis_ty,pelvis_tx,pelvis_tilt,pelvis_list,pelvis_rotation,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r_translation3,knee_angle_r_translation2,knee_angle_r_translation1,knee_angle_r,knee_angle_r_rotation2,knee_angle_r_rotation3,ankle_angle_r,subtalar_angle_r,mtp_angle_r,knee_angle_r_beta_translation2,knee_angle_r_beta_translation1,knee_angle_r_beta_rotation1,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l_translation3,knee_angle_l_translation2,knee_angle_l_translation1,knee_angle_l,knee_angle_l_rotation2,knee_angle_l_rotation3,ankle_angle_l,subtalar_angle_l,mtp_angle_l,knee_angle_l_beta_translation2,knee_angle_l_beta_translation1,knee_angle_l_beta_rotation1,L5_S1_FE,L5_S1_LB,L5_S1_AR,T12_L1_FE,T12_L1_LB,T12_L1_AR,T1_head_neck_FE,T1_head_neck_LB,T1_head_neck_AR,sternoclavicular_r2_r,sternoclavicular_r3_r,unrotscap_r3_r,unrotscap_r2_r,acromioclavicular_r2_r,acromioclavicular_r3_r,acromioclavicular_r1_r,unrothum_r1_r,unrothum_r3_r,unrothum_r2_r,elv_angle_r,shoulder_elv_r,shoulder1_r2_r,shoulder_rot_r,elbow_flexion_r,pro_sup_r,deviation_r,flexion_r,wrist_hand_r1_r,wrist_hand_r3_r,sternoclavicular_r2_l,sternoclavicular_r3_l,unrotscap_r3_l,unrotscap_r2_l,acromioclavicular_r2_l,acromioclavicular_r3_l,acromioclavicular_r1_l,unrothum_r1_l,unrothum_r3_l,unrothum_r2_l,elv_angle_l,shoulder_elv_l,shoulder1_r2_l,shoulder_rot_l,elbow_flexion_l,pro_sup_l,deviation_l,flexion_l,wrist_hand_r1_l,wrist_hand_r3_l
0.0,0.0,-0.012035,0.0,0.008778,0.039617,-0.021576,0.343455,-0.173881,-0.149137,0.003076,0.005343,0.001403,1.23544,0.025269,0.24527,-0.080384,0.0,0.0,-0.040257,0.004995,-0.939666,0.2073,0.114895,0.032908,-0.002034,-0.00186,0.000821,0.341259,0.022313,-0.107358,0.139931,0.0,0.0,-0.02592,0.043846,-0.107764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.077159,0.032681,-0.032681,0.077159,-0.015623,0.126261,0.056753,-0.056753,-0.126261,0.015623,-0.374772,0.318838,0.374772,0.327774,0.465117,-0.085364,0.001887,0.0,0.002558,0.0,-0.084115,0.035627,-0.035627,0.084115,-0.017032,0.137644,0.06187,-0.06187,-0.137644,0.017032,-0.467821,0.347583,0.467821,0.55192,0.517679,-0.262532,0.001887,0.0,0.002558,0.0
0.01,-0.000767,-0.010243,0.012056,0.006232,0.035952,-0.015165,0.368266,-0.169688,-0.151583,0.003123,0.005305,0.001403,1.22161,0.025759,0.244343,-0.074158,0.0,0.0,-0.040363,0.005615,-0.925945,0.189174,0.111538,0.032572,-0.001964,-0.001794,0.000798,0.328134,0.021653,-0.103886,0.14343,0.0,0.0,-0.025413,0.044286,-0.09941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.078243,0.03314,-0.03314,0.078243,-0.015843,0.128033,0.05755,-0.05755,-0.128033,0.015843,-0.374726,0.323315,0.374726,0.325452,0.462754,-0.085771,0.001889,0.0,0.00256,0.0,-0.082895,0.03511,-0.03511,0.082895,-0.016784,0.135646,0.060972,-0.060972,-0.135646,0.016784,-0.456852,0.342539,0.456852,0.54083,0.536759,-0.263039,0.001889,0.0,0.00256,0.0
0.02,-0.001627,-0.008043,0.023606,0.008747,0.030047,-0.009265,0.384598,-0.164006,-0.156797,0.003192,0.005245,0.001403,1.200476,0.026487,0.242869,-0.053503,0.0,0.0,-0.040506,0.006567,-0.904924,0.163492,0.106805,0.041465,-0.001869,-0.001706,0.000766,0.310821,0.020756,-0.09923,0.145097,0.0,0.0,-0.024732,0.044854,-0.088762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.078949,0.033439,-0.033439,0.078949,-0.015985,0.129189,0.058069,-0.058069,-0.129189,0.015985,-0.392256,0.326232,0.392256,0.312043,0.462673,-0.083905,0.001923,0.0,0.002607,0.0,-0.081322,0.034444,-0.034444,0.081322,-0.016466,0.133072,0.059815,-0.059815,-0.133072,0.016466,-0.411829,0.336039,0.411829,0.540759,0.543648,-0.265297,0.001923,0.0,0.002607,0.0
0.03,-0.002468,-0.006615,0.03538,0.008044,0.02677,-0.001981,0.404096,-0.160117,-0.159885,0.003263,0.005178,0.001402,1.177204,0.027258,0.241165,-0.037669,0.0,0.0,-0.040637,0.007622,-0.881707,0.142099,0.104703,0.048651,-0.001783,-0.001626,0.000737,0.29522,0.019922,-0.09496,0.146911,0.0,0.0,-0.02411,0.045354,-0.07954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.080148,0.033947,-0.033947,0.080148,-0.016228,0.131151,0.058951,-0.058951,-0.131151,0.016228,-0.394588,0.331188,0.394588,0.311234,0.460934,-0.083214,0.001927,0.0,0.002612,0.0,-0.080184,0.033962,-0.033962,0.080184,-0.016236,0.131211,0.058978,-0.058978,-0.131211,0.016236,-0.395657,0.33134,0.395657,0.526705,0.561572,-0.26612,0.001927,0.0,0.002612,0.0
0.04,-0.003014,-0.00558,0.046718,0.005847,0.022281,0.004103,0.425366,-0.153117,-0.160909,0.00334,0.005097,0.001401,1.149742,0.028123,0.239041,-0.028475,0.0,0.0,-0.040753,0.008875,-0.854224,0.125524,0.10041,0.052101,-0.001722,-0.00157,0.000716,0.284356,0.019328,-0.091944,0.150272,0.0,0.0,-0.02367,0.045696,-0.073334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.081589,0.034557,-0.034557,0.081589,-0.01652,0.13351,0.060012,-0.060012,-0.13351,0.01652,-0.394876,0.337144,0.394876,0.308252,0.460571,-0.083311,0.001929,0.0,0.002615,0.0,-0.079229,0.033558,-0.033558,0.079229,-0.016042,0.129647,0.058276,-0.058276,-0.129647,0.016042,-0.382863,0.327391,0.382863,0.517878,0.582426,-0.265958,0.001929,0.0,0.002615,0.0
0.05,-0.003709,-0.004401,0.058598,0.0077,0.017556,0.011112,0.437532,-0.147082,-0.164825,0.003424,0.004993,0.001399,1.115461,0.029131,0.236215,-0.013468,0.0,0.0,-0.040842,0.01045,-0.819795,0.101741,0.096141,0.059356,-0.001638,-0.001494,0.000687,0.269667,0.018505,-0.087811,0.15446,0.0,0.0,-0.023069,0.04615,-0.065235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.083486,0.035361,-0.035361,0.083486,-0.016904,0.136613,0.061407,-0.061407,-0.136613,0.016904,-0.425875,0.344982,0.425875,0.288612,0.46789,-0.081356,0.001954,0.0,0.002649,0.0,-0.077388,0.032778,-0.032778,0.077388,-0.015669,0.126635,0.056922,-0.056922,-0.126635,0.015669,-0.320255,0.319784,0.320255,0.52784,0.584892,-0.267564,0.001954,0.0,0.002649,0.0
0.06,-0.004308,-0.003759,0.069446,0.007523,0.014374,0.018994,0.452452,-0.142849,-0.168583,0.003502,0.004878,0.001395,1.078545,0.03012,0.232947,-0.006256,0.0,0.0,-0.040865,0.012155,-0.782594,0.084881,0.093092,0.065769,-0.00159,-0.00145,0.00067,0.261254,0.018024,-0.085414,0.156279,0.0,0.0,-0.022722,0.046405,-0.06075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.084225,0.035673,-0.035673,0.084225,-0.017054,0.137822,0.06195,-0.06195,-0.137822,0.017054,-0.426926,0.348034,0.426926,0.285373,0.463738,-0.081021,0.001958,0.0,0.002654,0.0,-0.076921,0.03258,-0.03258,0.076921,-0.015575,0.125871,0.056578,-0.056578,-0.125871,0.015575,-0.304644,0.317856,0.304644,0.515394,0.606947,-0.268201,0.001958,0.0,0.002654,0.0
0.07,-0.004906,-0.003444,0.080909,0.005336,0.009537,0.028008,0.465565,-0.1373,-0.175269,0.003574,0.004736,0.001389,1.034549,0.031161,0.228738,0.002907,0.0,0.0,-0.040796,0.014199,-0.738134,0.068582,0.088325,0.077066,-0.001533,-0.001398,0.000649,0.251288,0.017446,-0.082548,0.162644,0.0,0.0,-0.022306,0.046703,-0.055586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.085777,0.036331,-0.036331,0.085777,-0.017368,0.140363,0.063092,-0.063092,-0.140363,0.017368,-0.426056,0.35445,0.426056,0.281946,0.463287,-0.081242,0.001959,0.0,0.002656,0.0,-0.076384,0.032352,-0.032352,0.076384,-0.015466,0.124992,0.056183,-0.056183,-0.124992,0.015466,-0.29379,0.315634,0.29379,0.508082,0.630334,-0.267691,0.001959,0.0,0.002656,0.0
0.08,-0.005113,-0.002899,0.09237,0.007156,0.007425,0.032634,0.472867,-0.131852,-0.176759,0.00363,0.004574,0.00138,0.985971,0.032123,0.223679,0.006239,0.0,0.0,-0.040594,0.016463,-0.688965,0.045921,0.085495,0.081712,-0.001453,-0.001326,0.000621,0.237628,0.016638,-0.078571,0.168969,0.0,0.0,-0.021731,0.047104,-0.048776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.087048,0.036869,-0.036869,0.087048,-0.017625,0.142443,0.064027,-0.064027,-0.142443,0.017625,-0.449925,0.359702,0.449925,0.26325,0.466289,-0.07849,0.001987,0.0,0.002693,0.0,-0.075362,0.03192,-0.03192,0.075362,-0.015259,0.12332,0.055431,-0.055431,-0.12332,0.015259,-0.234996,0.311412,0.234996,0.517142,0.636197,-0.268153,0.001987,0.0,0.002693,0.0
0.09,-0.00541,-0.003014,0.103915,0.006919,0.006815,0.040341,0.480717,-0.127638,-0.177948,0.003661,0.004398,0.001367,0.935169,0.032905,0.217909,0.011771,0.0,0.0,-0.040243,0.018831,-0.63757,0.026032,0.084226,0.090056,-0.00138,-0.001261,0.000594,0.225247,0.01589,-0.074918,0.173846,0.0,0.0,-0.021205,0.047459,-0.042879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.088404,0.037444,-0.037444,0.088404,-0.0179,0.144661,0.065024,-0.065024,-0.144661,0.0179,-0.448817,0.365303,0.448817,0.260494,0.465442,-0.078586,0.001988,0.0,0.002695,0.0,-0.075102,0.031809,-0.031809,0.075102,-0.015207,0.122894,0.05524,-0.05524,-0.122894,0.015207,-0.225785,0.310336,0.225785,0.508974,0.661504,-0.267686,0.001988,0.0,0.002695,0.0
